	dato	antInnlagte	antRespirator
0	2020-03-08T00:00:00	0	0
1	2020-03-09T00:00:00	2	0
2	2020-03-10T00:00:00	8	0
3	2020-03-11T00:00:00	13	0
4	2020-03-12T00:00:00	23	1
5	2020-03-13T00:00:00	27	4
6	2020-03-14T00:00:00	35	4
7	2020-03-15T00:00:00	41	6
8	2020-03-16T00:00:00	50	10
9	2020-03-17T00:00:00	68	13
10	2020-03-18T00:00:00	82	16
11	2020-03-19T00:00:00	102	19
12	2020-03-20T00:00:00	130	26
13	2020-03-21T00:00:00	148	28
14	2020-03-22T00:00:00	169	32
15	2020-03-23T00:00:00	193	41
16	2020-03-24T00:00:00	212	44
17	2020-03-25T00:00:00	237	57
18	2020-03-26T00:00:00	266	70
19	2020-03-27T00:00:00	303	77
20	2020-03-28T00:00:00	291	84
21	2020-03-29T00:00:00	317	91
22	2020-03-30T00:00:00	321	97
23	2020-03-31T00:00:00	317	97
24	2020-04-01T00:00:00	325	99
25	2020-04-02T00:00:00	318	96
26	2020-04-03T00:00:00	318	96
27	2020-04-04T00:00:00	306	98
28	2020-04-05T00:00:00	310	89
29	2020-04-06T00:00:00	314	83
30	2020-04-07T00:00:00	277	78
31	2020-04-08T00:00:00	250	70
32	2020-04-09T00:00:00	252	70
33	2020-04-10T00:00:00	234	67
34	2020-04-11T00:00:00	214	64
35	2020-04-12T00:00:00	214	59
36	2020-04-13T00:00:00	204	58
37	2020-04-14T00:00:00	201	53
38	2020-04-15T00:00:00	190	52
39	2020-04-16T00:00:00	175	52
40	2020-04-17T00:00:00	165	51
41	2020-04-18T00:00:00	148	47
42	2020-04-19T00:00:00	153	48
43	2020-04-20T00:00:00	160	43
44	2020-04-21T00:00:00	144	40
45	2020-04-22T00:00:00	129	33
46	2020-04-23T00:00:00	123	33
47	2020-04-24T00:00:00	120	32
48	2020-04-25T00:00:00	114	33
49	2020-04-26T00:00:00	122	31
50	2020-04-27T00:00:00	125	32
51	2020-04-28T00:00:00	119	32
52	2020-04-29T00:00:00	114	31
53	2020-04-30T00:00:00	98	29
54	2020-05-01T00:00:00	82	30
55	2020-05-02T00:00:00	81	29
56	2020-05-03T00:00:00	80	28
57	2020-05-04T00:00:00	82	27
58	2020-05-05T00:00:00	71	27
59	2020-05-06T00:00:00	62	20
60	2020-05-07T00:00:00	63	18
61	2020-05-08T00:00:00	61	16
62	2020-05-09T00:00:00	59	16
63	2020-05-10T00:00:00	60	16
64	2020-05-11T00:00:00	59	17
65	2020-05-12T00:00:00	59	16
66	2020-05-13T00:00:00	61	15
67	2020-05-14T00:00:00	61	13
68	2020-05-15T00:00:00	58	12
69	2020-05-16T00:00:00	52	11
70	2020-05-17T00:00:00	52	11
71	2020-05-18T00:00:00	52	11
72	2020-05-19T00:00:00	51	11
73	2020-05-20T00:00:00	51	11
74	2020-05-21T00:00:00	41	9
75	2020-05-22T00:00:00	45	8
76	2020-05-23T00:00:00	35	7
77	2020-05-24T00:00:00	38	7
78	2020-05-25T00:00:00	40	8
79	2020-05-26T00:00:00	37	7
80	2020-05-27T00:00:00	36	7
81	2020-05-28T00:00:00	36	8
82	2020-05-29T00:00:00	30	5
83	2020-05-30T00:00:00	28	3
84	2020-05-31T00:00:00	28	3
85	2020-06-01T00:00:00	29	3
86	2020-06-02T00:00:00	32	3
87	2020-06-03T00:00:00	27	3
88	2020-06-04T00:00:00	29	3
89	2020-06-05T00:00:00	22	3
90	2020-06-08T00:00:00	21	2
91	2020-06-09T00:00:00	21	2
92	2020-06-10T00:00:00	18	2
93	2020-06-11T00:00:00	16	2
94	2020-06-12T00:00:00	16	3
95	2020-06-15T00:00:00	18	4
96	2020-06-16T00:00:00	18	4
97	2020-06-17T00:00:00	18	4
98	2020-06-18T00:00:00	19	4
99	2020-06-19T00:00:00	17	4
100	2020-06-22T00:00:00	13	4
101	2020-06-23T00:00:00	12	3
102	2020-06-24T00:00:00	16	3
103	2020-06-25T00:00:00	18	3
104	2020-06-26T00:00:00	20	4
105	2020-06-29T00:00:00	18	2
106	2020-06-30T00:00:00	18	1
107	2020-07-01T00:00:00	17	1
108	2020-07-02T00:00:00	19	1
109	2020-07-03T00:00:00	15	2
110	2020-07-06T00:00:00	11	2
111	2020-07-07T00:00:00	9	2
112	2020-07-08T00:00:00	8	2
113	2020-07-09T00:00:00	8	1
114	2020-07-10T00:00:00	4	1
115	2020-07-13T00:00:00	7	0
116	2020-07-14T00:00:00	7	0
117	2020-07-15T00:00:00	5	0
118	2020-07-16T00:00:00	6	0
119	2020-07-17T00:00:00	8	0
120	2020-07-20T00:00:00	10	1
121	2020-07-21T00:00:00	7	1
122	2020-07-22T00:00:00	3	1
123	2020-07-23T00:00:00	3	1
124	2020-07-24T00:00:00	3	1
125	2020-07-27T00:00:00	7	1
126	2020-07-28T00:00:00	5	1
127	2020-07-29T00:00:00	6	1
128	2020-07-30T00:00:00	6	1
129	2020-07-31T00:00:00	3	1
130	2020-08-03T00:00:00	14	1
131	2020-08-04T00:00:00	12	1
132	2020-08-05T00:00:00	11	1
133	2020-08-06T00:00:00	14	2
134	2020-08-07T00:00:00	15	2
135	2020-08-10T00:00:00	16	2
136	2020-08-11T00:00:00	15	2
137	2020-08-12T00:00:00	15	2
138	2020-08-13T00:00:00	12	1
139	2020-08-14T00:00:00	8	1
140	2020-08-17T00:00:00	14	1
141	2020-08-18T00:00:00	12	1
142	2020-08-19T00:00:00	11	0
143	2020-08-20T00:00:00	10	0
144	2020-08-21T00:00:00	13	0
145	2020-08-24T00:00:00	17	1
146	2020-08-25T00:00:00	18	1
147	2020-08-26T00:00:00	17	1
148	2020-08-27T00:00:00	17	0
149	2020-08-28T00:00:00	16	0
150	2020-08-31T00:00:00	12	1
151	2020-09-01T00:00:00	11	1
152	2020-09-02T00:00:00	11	1
153	2020-09-03T00:00:00	13	1
154	2020-09-04T00:00:00	16	1
155	2020-09-07T00:00:00	15	0
156	2020-09-08T00:00:00	11	0
157	2020-09-09T00:00:00	14	0
158	2020-09-10T00:00:00	11	0
159	2020-09-11T00:00:00	16	0
160	2020-09-14T00:00:00	21	0
161	2020-09-15T00:00:00	18	0
162	2020-09-16T00:00:00	16	0
163	2020-09-17T00:00:00	20	0
164	2020-09-18T00:00:00	16	0
165	2020-09-21T00:00:00	23	0
166	2020-09-22T00:00:00	21	0
167	2020-09-23T00:00:00	19	0
168	2020-09-24T00:00:00	24	0
169	2020-09-25T00:00:00	19	0
170	2020-09-28T00:00:00	21	0
171	2020-09-29T00:00:00	24	1
172	2020-09-30T00:00:00	28	1
173	2020-10-01T00:00:00	25	1
174	2020-10-02T00:00:00	27	1
175	2020-10-05T00:00:00	25	1
176	2020-10-06T00:00:00	22	1
177	2020-10-07T00:00:00	25	2
178	2020-10-08T00:00:00	27	1
179	2020-10-09T00:00:00	23	1
180	2020-10-12T00:00:00	31	1
181	2020-10-13T00:00:00	27	1
182	2020-10-14T00:00:00	23	1
183	2020-10-15T00:00:00	24	2
184	2020-10-16T00:00:00	28	3
185	2020-10-19T00:00:00	28	3
186	2020-10-20T00:00:00	29	3
187	2020-10-21T00:00:00	36	2
188	2020-10-22T00:00:00	44	4
189	2020-10-23T00:00:00	44	3
190	2020-10-26T00:00:00	54	3
191	2020-10-27T00:00:00	51	3
192	2020-10-28T00:00:00	49	1
193	2020-10-29T00:00:00	47	2
194	2020-10-30T00:00:00	60	3
195	2020-10-31T00:00:00	60	4
196	2020-11-01T00:00:00	63	4
197	2020-11-02T00:00:00	64	3
198	2020-11-03T00:00:00	61	3
199	2020-11-04T00:00:00	70	3
200	2020-11-05T00:00:00	72	5
201	2020-11-06T00:00:00	88	8
202	2020-11-07T00:00:00	92	11
203	2020-11-08T00:00:00	96	11
204	2020-11-09T00:00:00	97	15
205	2020-11-10T00:00:00	104	12
206	2020-11-11T00:00:00	95	12
207	2020-11-12T00:00:00	110	12
208	2020-11-13T00:00:00	109	13
209	2020-11-14T00:00:00	117	13
210	2020-11-15T00:00:00	127	13
211	2020-11-16T00:00:00	135	16
212	2020-11-17T00:00:00	139	15
213	2020-11-18T00:00:00	143	15
214	2020-11-19T00:00:00	138	15
215	2020-11-20T00:00:00	127	16
216	2020-11-21T00:00:00	124	18
217	2020-11-22T00:00:00	129	21
218	2020-11-23T00:00:00	138	22
219	2020-11-24T00:00:00	128	23
220	2020-11-25T00:00:00	116	22
221	2020-11-26T00:00:00	123	22
222	2020-11-27T00:00:00	121	20
223	2020-11-28T00:00:00	118	20
224	2020-11-29T00:00:00	123	19
225	2020-11-30T00:00:00	129	19
226	2020-12-01T00:00:00	128	17
227	2020-12-02T00:00:00	128	17
228	2020-12-03T00:00:00	111	17
229	2020-12-04T00:00:00	128	19
230	2020-12-05T00:00:00	131	19
231	2020-12-06T00:00:00	132	19
232	2020-12-07T00:00:00	151	20
233	2020-12-08T00:00:00	139	22
234	2020-12-09T00:00:00	132	22
235	2020-12-10T00:00:00	136	22
236	2020-12-11T00:00:00	132	24
237	2020-12-12T00:00:00	118	22
238	2020-12-13T00:00:00	121	21
239	2020-12-14T00:00:00	133	22
240	2020-12-15T00:00:00	126	22
241	2020-12-16T00:00:00	133	21
242	2020-12-17T00:00:00	121	23
243	2020-12-18T00:00:00	122	20
244	2020-12-19T00:00:00	136	22
245	2020-12-20T00:00:00	138	22
246	2020-12-21T00:00:00	146	22
247	2020-12-22T00:00:00	138	22
248	2020-12-23T00:00:00	129	20
249	2020-12-24T00:00:00	123	18
250	2020-12-25T00:00:00	113	15
251	2020-12-26T00:00:00	112	14
252	2020-12-27T00:00:00	129	14
253	2020-12-28T00:00:00	141	14
254	2020-12-29T00:00:00	151	15
255	2020-12-30T00:00:00	145	14
256	2020-12-31T00:00:00	140	15
257	2021-01-01T00:00:00	126	14
258	2021-01-02T00:00:00	127	14
259	2021-01-03T00:00:00	128	13
260	2021-01-04T00:00:00	129	14
261	2021-01-05T00:00:00	133	14
262	2021-01-06T00:00:00	129	16
263	2021-01-07T00:00:00	127	19
264	2021-01-08T00:00:00	131	21
265	2021-01-09T00:00:00	125	20
266	2021-01-10T00:00:00	143	20
267	2021-01-11T00:00:00	147	20
268	2021-01-12T00:00:00	149	22
269	2021-01-13T00:00:00	156	24
270	2021-01-14T00:00:00	164	23
271	2021-01-15T00:00:00	158	23
272	2021-01-16T00:00:00	150	24
273	2021-01-17T00:00:00	158	24
274	2021-01-18T00:00:00	152	20
275	2021-01-19T00:00:00	132	20
276	2021-01-20T00:00:00	124	21
277	2021-01-21T00:00:00	125	23
278	2021-01-22T00:00:00	131	21
279	2021-01-23T00:00:00	129	24
280	2021-01-24T00:00:00	135	23
281	2021-01-25T00:00:00	135	26
282	2021-01-26T00:00:00	122	22
283	2021-01-27T00:00:00	120	23
284	2021-01-28T00:00:00	104	21
285	2021-01-29T00:00:00	99	19
286	2021-01-30T00:00:00	87	20
287	2021-01-31T00:00:00	90	19
288	2021-02-01T00:00:00	96	20
289	2021-02-02T00:00:00	94	22
290	2021-02-03T00:00:00	95	21
291	2021-02-04T00:00:00	94	22
292	2021-02-05T00:00:00	95	22
293	2021-02-06T00:00:00	85	20
294	2021-02-07T00:00:00	91	22
295	2021-02-08T00:00:00	91	19
296	2021-02-09T00:00:00	94	20
297	2021-02-10T00:00:00	88	20
